angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.11,"[102, 100, 102, 130]",0.0,0.08,0.0,0.41,0.41,0.0
0.19,"[103, 99, 100, 132]",0.02,0.08,0.0,0.1,0.61,0.0
0.25,"[103, 99, 102, 133]",0.02,0.06,0.0,0.27,0.39,0.0
0.16,"[104, 101, 100, 126]",0.01,0.04,0.0,0.52,0.27,0.0
0.08,"[104, 102, 99, 123]",0.0,0.03,0.0,0.73,0.16,0.0
0.09,"[104, 103, 99, 122]",0.0,0.01,0.0,0.77,0.12,0.0
0.17,"[103, 103, 100, 124]",0.0,0.02,0.0,0.69,0.11,0.0
0.24,"[104, 102, 98, 123]",0.03,0.07,0.0,0.33,0.31,0.01
0.18,"[99, 96, 102, 135]",0.06,0.05,0.0,0.09,0.61,0.0
0.18,"[98, 96, 102, 135]",0.04,0.04,0.0,0.05,0.68,0.0
0.2,"[103, 100, 97, 125]",0.08,0.05,0.0,0.23,0.43,0.0
0.17,"[102, 101, 97, 125]",0.02,0.06,0.0,0.34,0.4,0.0
0.14,"[102, 101, 99, 128]",0.01,0.04,0.0,0.5,0.31,0.0
0.14,"[102, 101, 99, 128]",0.0,0.04,0.0,0.56,0.25,0.0
0.17,"[101, 100, 99, 129]",0.02,0.04,0.0,0.45,0.32,0.0
0.26,"[101, 101, 99, 128]",0.03,0.03,0.0,0.21,0.46,0.0
0.19,"[100, 101, 99, 128]",0.08,0.03,0.0,0.28,0.43,0.0
0.15,"[99, 101, 100, 128]",0.07,0.04,0.0,0.3,0.44,0.0
0.18,"[101, 101, 98, 127]",0.01,0.05,0.0,0.48,0.28,0.0
0.13,"[100, 100, 99, 128]",0.01,0.04,0.0,0.65,0.17,0.0
0.16,"[98, 98, 100, 131]",0.01,0.05,0.0,0.58,0.19,0.0
0.14,"[99, 101, 98, 125]",0.0,0.05,0.0,0.61,0.2,0.0
0.07,"[98, 98, 99, 126]",0.0,0.04,0.0,0.72,0.16,0.0
0.05,"[98, 98, 99, 126]",0.0,0.03,0.0,0.76,0.15,0.0
0.09,"[98, 100, 97, 123]",0.0,0.03,0.0,0.63,0.24,0.0
0.1,"[98, 100, 97, 123]",0.0,0.06,0.0,0.55,0.29,0.0
0.08,"[98, 101, 96, 121]",0.0,0.04,0.0,0.68,0.21,0.0
0.13,"[98, 101, 97, 121]",0.0,0.05,0.0,0.51,0.3,0.0
0.1,"[98, 100, 97, 122]",0.0,0.03,0.0,0.65,0.21,0.0
0.06,"[98, 99, 98, 123]",0.0,0.01,0.0,0.79,0.13,0.0
0.08,"[98, 100, 97, 122]",0.0,0.02,0.0,0.74,0.16,0.0
0.05,"[98, 99, 97, 123]",0.0,0.01,0.0,0.78,0.16,0.0
0.05,"[98, 98, 98, 124]",0.0,0.01,0.0,0.84,0.09,0.0
0.06,"[99, 98, 97, 123]",0.0,0.02,0.0,0.79,0.12,0.0
0.09,"[99, 99, 97, 121]",0.0,0.03,0.0,0.7,0.18,0.0
0.05,"[99, 98, 96, 122]",0.0,0.01,0.0,0.85,0.08,0.0
0.09,"[100, 97, 96, 122]",0.0,0.03,0.0,0.71,0.17,0.0
0.06,"[99, 97, 97, 123]",0.0,0.01,0.0,0.85,0.07,0.0
0.05,"[98, 97, 98, 122]",0.0,0.01,0.0,0.88,0.06,0.0
0.08,"[100, 98, 96, 121]",0.0,0.02,0.0,0.73,0.16,0.0
0.07,"[100, 97, 96, 122]",0.0,0.02,0.0,0.79,0.11,0.01
0.05,"[100, 97, 95, 121]",0.0,0.01,0.0,0.83,0.1,0.0
0.1,"[100, 98, 96, 121]",0.0,0.03,0.0,0.68,0.18,0.0
0.06,"[99, 96, 98, 123]",0.0,0.03,0.0,0.77,0.14,0.0
0.05,"[99, 96, 97, 124]",0.0,0.01,0.0,0.85,0.08,0.0
0.07,"[99, 97, 98, 122]",0.0,0.02,0.0,0.79,0.12,0.0
0.06,"[99, 97, 98, 122]",0.0,0.02,0.0,0.79,0.13,0.0
0.05,"[98, 96, 99, 125]",0.0,0.01,0.0,0.85,0.09,0.0
0.07,"[99, 97, 98, 123]",0.0,0.02,0.0,0.73,0.18,0.0
0.07,"[99, 98, 97, 122]",0.0,0.01,0.0,0.8,0.12,0.0
0.07,"[100, 99, 96, 121]",0.0,0.01,0.0,0.82,0.1,0.0
0.05,"[100, 99, 96, 121]",0.0,0.01,0.0,0.84,0.08,0.0
0.08,"[99, 99, 97, 122]",0.0,0.01,0.0,0.83,0.06,0.01
0.09,"[99, 100, 96, 121]",0.0,0.01,0.0,0.83,0.06,0.01
0.04,"[98, 101, 98, 122]",0.0,0.01,0.0,0.93,0.02,0.0
0.03,"[100, 101, 96, 122]",0.0,0.01,0.0,0.93,0.03,0.0
0.05,"[96, 99, 98, 126]",0.0,0.01,0.0,0.88,0.05,0.0
0.08,"[96, 101, 99, 123]",0.0,0.01,0.0,0.85,0.06,0.0
